"aa","Afar","Afaraf"
"ny","Chichewa, Chewa, Nyanja","chiCheŵa, chinyanja"
"oc","Occitan (after 1500)","Occitan"
"oj","Ojibwa","ᐊᓂᔑᓈᐯᒧᐎᓐ"
"om","Oromo","Afaan Oromoo"
"or","Oriya","ଓଡ଼ିଆ"
"os","Ossetian, Ossetic","Ирон æвзаг"
"pa","Panjabi, Punjabi","ਪੰਜਾਬੀ, پنجابی‎"
"pi","Pāli","पाऴि"
"pl","Polish","polski"
"ps","Pashto, Pushto","پښتو"
"pt","Portuguese","Português"
"qu","Quechua","Runa Simi, Kichwa"
"rm","Romansh","rumantsch grischun"
"rn","Rundi","kiRundi"
"ro","Romanian, Moldavian, Moldovan","română"
"ru","Russian","русский язык"
"rw","Kinyarwanda","Ikinyarwanda"
"sa","Sanskrit","संस्कृतम्"
"sc","Sardinian","sardu"
"sd","Sindhi","सिन्धी, سنڌي، سندھی‎"
"se","Northern Sami","Davvisámegiella"
"sg","Sango","yângâ tî sängö"
"si","Sinhala, Sinhalese","සිංහල"
"sk","Slovak","slovenčina"
"sl","Slovenian","slovenščina"
"sm","Samoan","gagana fa'a Samoa"
"sn","Shona","chiShona"
"so","Somali","Soomaaliga, af Soomaali"
"sq","Albanian","Shqip"
"sr","Serbian","српски језик"
"ss","Swati","SiSwati"
"st","Southern Sotho","Sesotho"
"su","Sundanese","Basa Sunda"
"sv","Swedish","svenska"
"sw","Swahili","Kiswahili"
"ta","Tamil","தமிழ்"
"te","Telugu","తెలుగు"
"tg","Tajik","тоҷикӣ, toğikī, تاجیکی‎"
"th","Thai","ไทย"
"ti","Tigrinya","ትግርኛ"
"tk","Turkmen","Türkmen, Түркмен"
"tl","Tagalog","Tagalog"
"tn","Tswana","Setswana"
"to","Tonga (Tonga Islands)","faka Tonga"
"tr","Turkish","Türkçe"
"ts","Tsonga","Xitsonga"
"tt","Tatar","татарча, tatarça, تاتارچا‎"
"tw","Twi","Twi"
"ty","Tahitian","Reo Mā`ohi"
"ug","Uighur, Uyghur","Uyƣurqə, ئۇيغۇرچە‎"
"uk","Ukrainian","Українська"
"ur","Urdu","اردو"
"uz","Uzbek","O'zbek, Ўзбек, أۇزبېك‎"
"ve","Venda","Tshivenḓa"
"vi","Vietnamese","Tiếng Việt"
"vo","Volapük","Volapük"
"wa","Walloon","Walon"
"wo","Wolof","Wollof"
"xh","Xhosa","isiXhosa"
"yi","Yiddish","ייִדיש"
"yo","Yoruba","Yorùbá"
"za","Zhuang, Chuang","Saɯ cueŋƅ, Saw cuengh"
"zh","Chinese","中文 (Zhōngwén), 汉语, 漢語"
"zu","Zulu","isiZulu"
